Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,GDP(billion euros),GDP per capita,Tourist_rank,Safty_Rank,Season,Tourism_Suitable_Percentage,Weather_Rank,Recommendation_Score,Avg_Rank,T1,S2,W3
Antwerp,Antwerp,Belgium,City,51.223581,4.415875,4000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A port city known for its diamond industry, fashion, and Renaissance architecture.","Antwerp boasts a lively arts scene, historic squares, and is a global hub for the diamond trade.",98.189,46900,14,1,Autumn,0.529761905,9,20,0.245708812,0.448275862,0,0.296296296
Antwerp,Antwerp,Belgium,City,51.223581,4.415875,4000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A port city known for its diamond industry, fashion, and Renaissance architecture.","Antwerp boasts a lively arts scene, historic squares, and is a global hub for the diamond trade.",98.189,46900,14,1,Spring,0.436594203,10,19,0.257931034,0.448275862,0,0.333333333
Antwerp,Antwerp,Belgium,City,51.223581,4.415875,4000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A port city known for its diamond industry, fashion, and Renaissance architecture.","Antwerp boasts a lively arts scene, historic squares, and is a global hub for the diamond trade.",98.189,46900,14,1,Summer,0.38134058,17,12,0.34348659,0.448275862,0,0.592592593
Antwerp,Antwerp,Belgium,City,51.223581,4.415875,4000000,Euro,Roman Catholic,"Waffles, Belgian Fries, Chocolate","Dutch, French",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A port city known for its diamond industry, fashion, and Renaissance architecture.","Antwerp boasts a lively arts scene, historic squares, and is a global hub for the diamond trade.",98.189,46900,14,1,Winter,0.846759259,10,19,0.257931034,0.448275862,0,0.333333333
Lisbon,Lisbon,Portugal,City,38.710825,-9.136136,3500000,Euro,Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,87.4,61713,15,3,Autumn,0.753205128,1,28,0.324310345,0.482758621,0.5,0
Lisbon,Lisbon,Portugal,City,38.710825,-9.136136,3500000,Euro,Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,87.4,61713,15,3,Spring,0.846014493,1,28,0.324310345,0.482758621,0.5,0
Lisbon,Lisbon,Portugal,City,38.710825,-9.136136,3500000,Euro,Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,87.4,61713,15,3,Summer,0.429800725,15,14,0.495421456,0.482758621,0.5,0.518518519
Lisbon,Lisbon,Portugal,City,38.710825,-9.136136,3500000,Euro,Roman Catholic,"Bacalhau, Pastel de nata, Sardinha",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Capital city known for its historic center, Seven Hills, and vibrant nightlife.",,87.4,61713,15,3,Winter,0.933796296,6,23,0.385421456,0.482758621,0.5,0.185185185
Marseille,Provence-Alpes-Côte d'Azur,France,Coastal City,43.296168,5.370254,3500000,Euro,Roman Catholic,"Bouillabaisse, Aïoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",,,15,3,Autumn,0.571428571,7,22,0.397643678,0.482758621,0.5,0.222222222
Marseille,Provence-Alpes-Côte d'Azur,France,Coastal City,43.296168,5.370254,3500000,Euro,Roman Catholic,"Bouillabaisse, Aïoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",,,15,3,Spring,0.49365942,9,20,0.422088123,0.482758621,0.5,0.296296296
Marseille,Provence-Alpes-Côte d'Azur,France,Coastal City,43.296168,5.370254,3500000,Euro,Roman Catholic,"Bouillabaisse, Aïoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",,,15,3,Summer,0.457880435,12,17,0.458754789,0.482758621,0.5,0.407407407
Marseille,Provence-Alpes-Côte d'Azur,France,Coastal City,43.296168,5.370254,3500000,Euro,Roman Catholic,"Bouillabaisse, Aïoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",,,15,3,Winter,0.90462963,7,22,0.397643678,0.482758621,0.5,0.222222222
Kyiv,Kyiv Oblast,Ukraine,City,50.45466,30.523842,3500000,Ukrainian hryvnia (UAH),Ukrainian Orthodox,"Borscht, Varenyky, Salo",Ukrainian,Spring (May-June) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of ongoing conflict",Capital city known for historic architecture and vibrant culture.,"The capital city, known for its historic architecture, museums, and vibrant culture.",33.1,51312,15,5,,,14,,0.648199234,0.482758621,1,0.481481481
Mont Saint-Michel,Normandy,France,Island,48.636111,-1.504444,3500000,Euro,Roman Catholic,"Seafood, Crepes",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A UNESCO World Heritage Site, famous for its abbey perched on a tidal island.",A breathtaking medieval island commune with a stunning abbey and winding streets.,159.006,47848,15,1,Autumn,0.571428571,7,22,0.232643678,0.482758621,0,0.222222222
Mont Saint-Michel,Normandy,France,Island,48.636111,-1.504444,3500000,Euro,Roman Catholic,"Seafood, Crepes",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A UNESCO World Heritage Site, famous for its abbey perched on a tidal island.",A breathtaking medieval island commune with a stunning abbey and winding streets.,159.006,47848,15,1,Spring,0.49365942,9,20,0.257088123,0.482758621,0,0.296296296
Mont Saint-Michel,Normandy,France,Island,48.636111,-1.504444,3500000,Euro,Roman Catholic,"Seafood, Crepes",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A UNESCO World Heritage Site, famous for its abbey perched on a tidal island.",A breathtaking medieval island commune with a stunning abbey and winding streets.,159.006,47848,15,1,Summer,0.457880435,12,17,0.293754789,0.482758621,0,0.407407407
Mont Saint-Michel,Normandy,France,Island,48.636111,-1.504444,3500000,Euro,Roman Catholic,"Seafood, Crepes",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A UNESCO World Heritage Site, famous for its abbey perched on a tidal island.",A breathtaking medieval island commune with a stunning abbey and winding streets.,159.006,47848,15,1,Winter,0.90462963,7,22,0.232643678,0.482758621,0,0.222222222
Seville,Andalusia,Spain,City,37.38908,-5.98398,3500000,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alcázar and the Seville Cathedral.",,,15,3,Autumn,0.597527473,3,26,0.348754789,0.482758621,0.5,0.074074074
Seville,Andalusia,Spain,City,37.38908,-5.98398,3500000,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alcázar and the Seville Cathedral.",,,15,3,Spring,0.744112319,3,26,0.348754789,0.482758621,0.5,0.074074074
Seville,Andalusia,Spain,City,37.38908,-5.98398,3500000,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alcázar and the Seville Cathedral.",,,15,3,Summer,0.636775362,4,25,0.360977012,0.482758621,0.5,0.111111111
Seville,Andalusia,Spain,City,37.38908,-5.98398,3500000,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alcázar and the Seville Cathedral.",,,15,3,Winter,0.951851852,4,25,0.360977012,0.482758621,0.5,0.111111111
Salzburg,Salzburg,Austria,City,47.697994,13.040555,3000000,Euro,Roman Catholic,"Mozartkugel, Salzburger Nockerl, Kaiserschmarrn",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"The birthplace of Mozart, famous for its Baroque architecture and music festivals.","A city rich in history, music, and stunning Alpine surroundings, home to the Salzburg Festival.",24.9,53300,16,1,Autumn,0.39010989,22,7,0.427356322,0.517241379,0,0.777777778
Salzburg,Salzburg,Austria,City,47.697994,13.040555,3000000,Euro,Roman Catholic,"Mozartkugel, Salzburger Nockerl, Kaiserschmarrn",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"The birthplace of Mozart, famous for its Baroque architecture and music festivals.","A city rich in history, music, and stunning Alpine surroundings, home to the Salzburg Festival.",24.9,53300,16,1,Spring,0.315217391,21,8,0.4151341,0.517241379,0,0.740740741
Salzburg,Salzburg,Austria,City,47.697994,13.040555,3000000,Euro,Roman Catholic,"Mozartkugel, Salzburger Nockerl, Kaiserschmarrn",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"The birthplace of Mozart, famous for its Baroque architecture and music festivals.","A city rich in history, music, and stunning Alpine surroundings, home to the Salzburg Festival.",24.9,53300,16,1,Summer,0.4375,14,15,0.329578544,0.517241379,0,0.481481481
Salzburg,Salzburg,Austria,City,47.697994,13.040555,3000000,Euro,Roman Catholic,"Mozartkugel, Salzburger Nockerl, Kaiserschmarrn",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"The birthplace of Mozart, famous for its Baroque architecture and music festivals.","A city rich in history, music, and stunning Alpine surroundings, home to the Salzburg Festival.",24.9,53300,16,1,Winter,0.428240741,23,6,0.439578544,0.517241379,0,0.814814815
Dresden,Saxony,Germany,City,51.051005,13.737234,3000000,Euro,Protestant,"Dresdner Stollen, Eierschecke, Kartoffelsalat",German,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A historic city known for its Baroque architecture, museums, and the Elbe River.","The city was heavily bombed in WWII but has been beautifully restored, with notable landmarks like the Zwinger Palace.",24.067,43302,16,1,Autumn,0.475274725,14,15,0.329578544,0.517241379,0,0.481481481
Dresden,Saxony,Germany,City,51.051005,13.737234,3000000,Euro,Protestant,"Dresdner Stollen, Eierschecke, Kartoffelsalat",German,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A historic city known for its Baroque architecture, museums, and the Elbe River.","The city was heavily bombed in WWII but has been beautifully restored, with notable landmarks like the Zwinger Palace.",24.067,43302,16,1,Spring,0.381793478,15,14,0.341800766,0.517241379,0,0.518518519
Dresden,Saxony,Germany,City,51.051005,13.737234,3000000,Euro,Protestant,"Dresdner Stollen, Eierschecke, Kartoffelsalat",German,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A historic city known for its Baroque architecture, museums, and the Elbe River.","The city was heavily bombed in WWII but has been beautifully restored, with notable landmarks like the Zwinger Palace.",24.067,43302,16,1,Summer,0.441123188,13,16,0.317356322,0.517241379,0,0.444444444
Dresden,Saxony,Germany,City,51.051005,13.737234,3000000,Euro,Protestant,"Dresdner Stollen, Eierschecke, Kartoffelsalat",German,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A historic city known for its Baroque architecture, museums, and the Elbe River.","The city was heavily bombed in WWII but has been beautifully restored, with notable landmarks like the Zwinger Palace.",24.067,43302,16,1,Winter,0.706481481,12,17,0.3051341,0.517241379,0,0.407407407
Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3000000,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,49.74,32000,16,2,Autumn,0.630494505,2,27,0.265411877,0.517241379,0.25,0.037037037
Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3000000,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,49.74,32000,16,2,Spring,0.666666667,4,25,0.289856322,0.517241379,0.25,0.111111111
Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3000000,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,49.74,32000,16,2,Summer,0.745923913,1,28,0.253189655,0.517241379,0.25,0
Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3000000,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,49.74,32000,16,2,Winter,0.983333333,2,27,0.265411877,0.517241379,0.25,0.037037037
Algarve,Algarve,Portugal,Region,37.044335,-7.774026,3000000,Euro,Roman Catholic,"Seafood, Sardinha, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Popular coastal region known for beaches, golf courses, and water sports.",,11.62,26754,16,1,Autumn,0.753205128,1,28,0.170689655,0.517241379,0,0
Algarve,Algarve,Portugal,Region,37.044335,-7.774026,3000000,Euro,Roman Catholic,"Seafood, Sardinha, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Popular coastal region known for beaches, golf courses, and water sports.",,11.62,26754,16,1,Spring,0.846014493,1,28,0.170689655,0.517241379,0,0
Algarve,Algarve,Portugal,Region,37.044335,-7.774026,3000000,Euro,Roman Catholic,"Seafood, Sardinha, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Popular coastal region known for beaches, golf courses, and water sports.",,11.62,26754,16,1,Summer,0.429800725,15,14,0.341800766,0.517241379,0,0.518518519
Algarve,Algarve,Portugal,Region,37.044335,-7.774026,3000000,Euro,Roman Catholic,"Seafood, Sardinha, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Popular coastal region known for beaches, golf courses, and water sports.",,11.62,26754,16,1,Winter,0.933796296,6,23,0.231800766,0.517241379,0,0.185185185
Crete,Crete,Greece,Island,35.243662,25.047873,3000000,Euro,Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Largest island in Greece, known for ancient ruins, beaches, and mountains.",,10.331,16575,16,1,Autumn,0.578754579,5,24,0.219578544,0.517241379,0,0.148148148
Crete,Crete,Greece,Island,35.243662,25.047873,3000000,Euro,Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Largest island in Greece, known for ancient ruins, beaches, and mountains.",,10.331,16575,16,1,Spring,0.793931159,2,27,0.182911877,0.517241379,0,0.037037037
Crete,Crete,Greece,Island,35.243662,25.047873,3000000,Euro,Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Largest island in Greece, known for ancient ruins, beaches, and mountains.",,10.331,16575,16,1,Summer,0.730525362,2,27,0.182911877,0.517241379,0,0.037037037
Crete,Crete,Greece,Island,35.243662,25.047873,3000000,Euro,Greek Orthodox,"Seafood, Greek salad, Moussaka",Greek,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Largest island in Greece, known for ancient ruins, beaches, and mountains.",,10.331,16575,16,1,Winter,0.970833333,3,26,0.1951341,0.517241379,0,0.074074074
Monaco-Ville,Monaco-Ville,Monaco,City,45.437078,7.426435,3000000,Euro,Roman Catholic,Mediterranean cuisine,"French, Monégasque",Spring (April-May) or Fall (Sept-Oct),Extremely high,Generally safe,Historic old town known for its Prince's Palace and Oceanographic Museum.,"Perched on a rocky promontory, Monaco-Ville offers stunning views and historic landmarks.",,,16,1,,,14,,0.329578544,0.517241379,0,0.481481481
Monte Carlo,Monaco-Ville,Monaco,District,45.437078,7.426435,3000000,Euro,Roman Catholic,Mediterranean cuisine,"French, Monégasque",Spring (April-May) or Fall (Sept-Oct),Extremely high,Generally safe,"Glamorous district known for casinos, luxury shops, and the Grand Prix.",Renowned for its vibrant nightlife and high-end attractions.,,,16,1,,,14,,0.329578544,0.517241379,0,0.481481481
Sochi,Krasnodar Krai,Russia,City,43.565133,39.60304,3000000,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Summer (June-August),Medium-high,"Generally safe, but be aware of pickpockets","Black Sea resort city known for beaches, mountains, and Olympic venues.",Popular destination for beachgoers and winter sports enthusiasts.,,,16,3,,,14,,0.494578544,0.517241379,0.5,0.481481481
Zurich,Zurich,Switzerland,City,47.376881,8.541694,3000000,Swiss franc (CHF),Protestant,"Fondue, Rösti, Raclette","German, French, Italian",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,"Largest city known for finance, museums, and lakefront.","The largest city in Switzerland, known for its financial district, museums, and beautiful lakefront.",141.554,91541.05,16,1,Autumn,0.412545788,21,8,0.4151341,0.517241379,0,0.740740741
Zurich,Zurich,Switzerland,City,47.376881,8.541694,3000000,Swiss franc (CHF),Protestant,"Fondue, Rösti, Raclette","German, French, Italian",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,"Largest city known for finance, museums, and lakefront.","The largest city in Switzerland, known for its financial district, museums, and beautiful lakefront.",141.554,91541.05,16,1,Spring,0.259057971,24,5,0.451800766,0.517241379,0,0.851851852
Zurich,Zurich,Switzerland,City,47.376881,8.541694,3000000,Swiss franc (CHF),Protestant,"Fondue, Rösti, Raclette","German, French, Italian",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,"Largest city known for finance, museums, and lakefront.","The largest city in Switzerland, known for its financial district, museums, and beautiful lakefront.",141.554,91541.05,16,1,Summer,0.338315217,19,10,0.390689655,0.517241379,0,0.666666667
Zurich,Zurich,Switzerland,City,47.376881,8.541694,3000000,Swiss franc (CHF),Protestant,"Fondue, Rösti, Raclette","German, French, Italian",Spring (Apr-May) or Fall (Sep-Oct),High,Generally safe,"Largest city known for finance, museums, and lakefront.","The largest city in Switzerland, known for its financial district, museums, and beautiful lakefront.",141.554,91541.05,16,1,Winter,0.463888889,21,8,0.4151341,0.517241379,0,0.740740741
Edinburgh,Scotland,United Kingdom,City,55.953252,-3.188267,3000000,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital of Scotland, known for its medieval castle and vibrant festivals.","The capital of Scotland, known for its medieval castle, historic Old Town, and vibrant festivals.",31.8,60764,16,1,Autumn,0.47481685,15,14,0.341800766,0.517241379,0,0.518518519
Edinburgh,Scotland,United Kingdom,City,55.953252,-3.188267,3000000,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital of Scotland, known for its medieval castle and vibrant festivals.","The capital of Scotland, known for its medieval castle, historic Old Town, and vibrant festivals.",31.8,60764,16,1,Spring,0.341485507,18,11,0.378467433,0.517241379,0,0.62962963
Edinburgh,Scotland,United Kingdom,City,55.953252,-3.188267,3000000,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital of Scotland, known for its medieval castle and vibrant festivals.","The capital of Scotland, known for its medieval castle, historic Old Town, and vibrant festivals.",31.8,60764,16,1,Summer,0.145380435,25,4,0.464022988,0.517241379,0,0.888888889
Edinburgh,Scotland,United Kingdom,City,55.953252,-3.188267,3000000,British Pound Sterling (GBP),Christian (Presbyterian),"Haggis, Scotch whisky, Shortbread","English, Scottish Gaelic",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital of Scotland, known for its medieval castle and vibrant festivals.","The capital of Scotland, known for its medieval castle, historic Old Town, and vibrant festivals.",31.8,60764,16,1,Winter,0.934259259,5,24,0.219578544,0.517241379,0,0.148148148
Oslo,Oslo,Norway,City,59.913868,10.751964,2500000,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",79.3,87783,17,1,Autumn,0.125457875,28,1,0.512068966,0.551724138,0,1
Oslo,Oslo,Norway,City,59.913868,10.751964,2500000,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",79.3,87783,17,1,Spring,0.148097826,28,1,0.512068966,0.551724138,0,1
Oslo,Oslo,Norway,City,59.913868,10.751964,2500000,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",79.3,87783,17,1,Summer,0.046648551,27,2,0.499846743,0.551724138,0,0.962962963
Oslo,Oslo,Norway,City,59.913868,10.751964,2500000,Norwegian krone (NOK),Protestant,"Fish, Reindeer, Brunost",Norwegian,Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",79.3,87783,17,1,Winter,0.280092593,27,2,0.499846743,0.551724138,0,0.962962963
Stockholm,Stockholm County,Sweden,City,59.329302,18.068581,2500000,Swedish krona (SEK),Protestant,"Köttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",113.92975,61965,17,1,Autumn,0.264194139,26,3,0.487624521,0.551724138,0,0.925925926
Stockholm,Stockholm County,Sweden,City,59.329302,18.068581,2500000,Swedish krona (SEK),Protestant,"Köttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",113.92975,61965,17,1,Spring,0.222826087,26,3,0.487624521,0.551724138,0,0.925925926
Stockholm,Stockholm County,Sweden,City,59.329302,18.068581,2500000,Swedish krona (SEK),Protestant,"Köttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",113.92975,61965,17,1,Summer,0.191123188,24,5,0.463180077,0.551724138,0,0.851851852
Stockholm,Stockholm County,Sweden,City,59.329302,18.068581,2500000,Swedish krona (SEK),Protestant,"Köttbullar, Fika, Jansson's Temptation",Swedish,Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",113.92975,61965,17,1,Winter,0.468981481,20,9,0.414291188,0.551724138,0,0.703703704
Reykjavik,Capital Region,Iceland,City,64.147778,-21.915556,2500000,Icelandic króna (ISK),Protestant,"Fish, Lamb, Skyr",Icelandic,Spring (May-June) or Fall (Sep-Oct),High,Generally safe,"The capital city, known for its colorful houses, museums, and vibrant culture.",,,,17,1,,,14,,0.340957854,0.551724138,0,0.481481481
Aarhus,Region Midtjylland,Denmark,City,56.150947,10.217696,2500000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Known for its vibrant arts scene, beautiful parks, and historical sites.","Denmark's second-largest city, a cultural hub with museums, festivals, and university life.",69.727,53100,17,1,Autumn,0.518772894,10,19,0.292068966,0.551724138,0,0.333333333
Aarhus,Region Midtjylland,Denmark,City,56.150947,10.217696,2500000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Known for its vibrant arts scene, beautiful parks, and historical sites.","Denmark's second-largest city, a cultural hub with museums, festivals, and university life.",69.727,53100,17,1,Spring,0.288043478,23,6,0.450957854,0.551724138,0,0.814814815
Aarhus,Region Midtjylland,Denmark,City,56.150947,10.217696,2500000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Known for its vibrant arts scene, beautiful parks, and historical sites.","Denmark's second-largest city, a cultural hub with museums, festivals, and university life.",69.727,53100,17,1,Summer,0.203351449,22,7,0.438735632,0.551724138,0,0.777777778
Aarhus,Region Midtjylland,Denmark,City,56.150947,10.217696,2500000,Danish krone (DKK),Protestant,"Smørrebrød, Frikadeller, Æblekage",Danish,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Known for its vibrant arts scene, beautiful parks, and historical sites.","Denmark's second-largest city, a cultural hub with museums, festivals, and university life.",69.727,53100,17,1,Winter,0.880555556,9,20,0.279846743,0.551724138,0,0.296296296
Porto,Porto,Portugal,City,41.149631,-8.610975,2500000,Euro,Roman Catholic,"Francesinha, Bacalhau, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Coastal city known for its wine cellars, historic center, and beautiful riverfront.",,39.178,22603,17,1,Autumn,0.753205128,1,28,0.182068966,0.551724138,0,0
Porto,Porto,Portugal,City,41.149631,-8.610975,2500000,Euro,Roman Catholic,"Francesinha, Bacalhau, Pastel de nata",Portuguese,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Coastal city known for its wine cellars, historic center, and beautiful riverfront.",,39.178,22603,17,1,Spring,0.846014493,1,28,0.182068966,0.551724138,0,0
